Frequency [Hz], Amplitude [dB], Phase [deg]
50000, -42.026913, 354.13089
52104.208416833666, -42.07246, 354.016022
54208.41683366733, -42.099369, 354.073578
56312.625250501005, -42.113228, 354.000061
58416.83366733467, -42.145821, 354.14621
60521.04208416834, -42.173859, 354.132599
62625.250501002, -42.206711, 354.167236
64729.45891783567, -42.199825, 353.988159
66833.66733466934, -42.227173, 354.364624
68937.875751503, -42.282829, 354.219025
71042.08416833667, -42.311169, 219.065414
73146.29258517033, -42.307632, -5.644547
75250.501002004, -42.292545, -5.458359
77354.70941883768, -42.305019, -5.621323
79458.91783567134, -42.291454, -5.235886
81563.12625250501, -42.305031, -5.195618
83667.33466933868, -42.33461, -5.163559
85771.54308617234, -42.331444, -5.243835
87875.751503006, -42.316395, -5.080322
89979.95991983969, -42.340641, -5.314728
92084.16833667335, -42.352188, -5.175507
94188.37675350701, -42.328037, -4.904922
96292.58517034068, -42.377308, -5.073105
98396.79358717435, -42.373714, -4.874466
100501.00200400801, -42.367359, -4.786453
102605.21042084169, -42.359856, -4.758087
104709.41883767536, -42.366798, -4.708267
106813.62725450902, -42.344032, -4.940414
108917.83567134268, -42.347527, -4.923615
111022.04408817635, -42.326496, -4.929901
113126.25250501002, -42.350163, -5.115585
115230.46092184368, -42.3904, -5.214386
117334.66933867735, -42.369549, -5.25856
119438.87775551103, -42.419617, -5.019501
121543.08617234469, -42.403858, -5.09639
123647.29458917836, -42.418285, -5.166794
125751.50300601202, -42.415291, -5.000214
127855.71142284569, -42.406677, -5.09581
129959.91983967937, -42.450005, -5.011414
132064.12825651304, -42.457405, -4.873108
134168.3366733467, -42.399311, -4.870285
136272.54509018036, -42.451183, -4.80925
138376.75350701401, -42.433338, -4.889572
140480.9619238477, -42.477985, -4.777924
142585.17034068136, -42.401211, -4.633316
144689.37875751505, -42.455845, -4.631317
146793.5871743487, -42.479076, -4.701019
148897.79559118237, -42.447098, -4.617279
151002.00400801603, -42.479397, -4.198959
308817.63527054107, -42.531811, -14.829956
310921.8436873747, -42.532318, -15.001404
313026.05210420844, -42.541725, -15.105209
315130.2605210421, -42.582516, -15.128296
317234.46893787576, -42.546074, -15.085831
319338.6773547094, -42.575657, -15.199707
321442.8857715431, -42.587688, -14.953033
323547.09418837674, -42.598087, -15.361557
325651.3026052104, -42.581375, -15.029404
327755.5110220441, -42.619423, -15.152893
329859.7194388778, -42.637455, -15.285065
331963.92785571143, -42.646954, -15.273773
334068.1362725451, -42.645088, -15.248047
336172.34468937875, -42.645702, -15.45047
338276.5531062124, -42.712505, -15.431854
340380.76152304607, -42.693378, -15.291779
342484.9699398798, -42.680386, -15.426987
344589.17835671344, -42.699364, -15.429016
346693.3867735471, -42.701668, -15.361328
348797.59519038076, -42.714039, -15.588226
350901.8036072144, -42.757919, -15.447266
353006.0120240481, -42.741154, -15.590729
355110.2204408818, -42.737656, -15.464798
357214.42885771545, -42.746731, -15.513229
359318.6372745491, -42.807121, -15.472229
361422.84569138277, -42.770493, -15.953674
363527.0541082164, -42.803135, -15.252045
365631.2625250501, -42.849075, -15.477097
367735.47094188374, -42.850708, -15.53212
369839.67935871746, -42.835293, -15.752655
371943.8877755511, -42.859383, -15.760651
374048.0961923848, -42.853466, -15.588303
376152.30460921844, -42.829956, -15.766968
378256.5130260521, -42.876835, -16.070358
380360.72144288576, -42.864746, -15.786697
382464.9298597194, -42.839996, -15.820511
384569.13827655313, -42.885151, -15.875336
386673.3466933868, -42.90451, -16.004715
388777.55511022045, -42.926529, -15.921082
390881.7635270541, -42.925728, -16.099243
392985.97194388777, -42.918488, -16.009491
395090.1803607214, -42.929588, -16.185028
397194.3887775551, -42.9137, -16.188232
399298.5971943888, -42.967834, -16.371811
401402.80561122246, -42.951149, -16.087601
403507.0140280561, -42.984138, -16.011719
