Frequency [Hz],Amplitude [dB]
50000,-36.35775653818337
51000,-35.79565044113306
52000,-35.389285147823905
53000,-35.28341025745303
54000,-34.840037239573334
55000,-34.309290960891246
56000,-34.20171086418718
57000,-33.84578364899775
58000,-33.36867919791044
59000,-33.0243841030133
60000,-32.72353831471753
61000,-32.33889715801014
62000,-32.18779754842043
63000,-31.593755076116885
64000,-31.297340984147855
65000,-31.304974692588534
66000,-30.81358961099312
67000,-30.641024540430756
68000,-30.304616046187775
69000,-30.12874823803943
70000,-29.792841232428536
71000,-29.549418257549235
72000,-29.299981223935085
73000,-29.115006896790483
74000,-28.8330897831201
75000,-28.71616005228602
76000,-28.430330283445464
77000,-28.221888034563335
78000,-28.032881746490265
79000,-27.87316112215867
80000,-27.62637229709467
81000,-27.486870765023482
82000,-27.311147562432048
83000,-26.98288331329612
84000,-26.96621087661687
85000,-26.695882941294037
86000,-26.392000327832655
87000,-26.27054650439669
88000,-26.176757664529152
89000,-26.05853044483184
90000,-25.78072628849606
91000,-25.56495597768496
92000,-25.484789419945223
93000,-25.245017387041106
94000,-25.167706812630456
95000,-24.97152681348768
96000,-24.840539417625646
97000,-24.653051659158404
98000,-24.59902817434604
99000,-24.404638049824843
100000,-24.272569869381236
101000,-24.14020353195021
102000,-23.935714794598166
103000,-23.83496733870132
104000,-23.703351588114128
105000,-23.550596022646825
106000,-23.48721743333246
107000,-23.32040175068555
108000,-23.266710692194795
109000,-23.086562438859445
110000,-22.97370018003732
111000,-22.892198974367258
112000,-22.817707856319213
113000,-22.664916136684912
114000,-22.484009127009482
115000,-22.42832134728965
116000,-22.276601880484453
117000,-22.15276323594993
118000,-22.058364595563525
119000,-21.971577877889967
120000,-21.769158541410526
121000,-21.717632489906713
122000,-21.62352667420072
123000,-21.566547139715595
124000,-21.41895335579162
125000,-21.30663925947231
126000,-21.242240191753986
127000,-21.120012049139902
128000,-21.020245356021572
129000,-20.90128620538464
130000,-20.865288668839263
131000,-20.742014548081855
132000,-20.62632415650719
133000,-20.545051550185224
134000,-20.546440622420374
135000,-20.41778288509231
136000,-20.36857511964073
137000,-20.228859329094814
138000,-20.180474796139897
139000,-20.04117557633322
140000,-19.95634917114392
141000,-19.907787413155333
142000,-19.834503631899167
143000,-19.822842575434283
144000,-19.735336851584037
145000,-19.60442354611679
146000,-19.4982044751423
147000,-19.445941803164654
148000,-19.356496263552526
149000,-19.30495568308012
150000,-19.28659164817774
151000,-19.140400630054337
152000,-19.09500655593304
153000,-19.00925858935837
154000,-18.929166449016495
155000,-18.902096067130007
156000,-18.808895301221384
157000,-18.76816302340015
158000,-18.685739282667694
159000,-18.585745572546315
160000,-18.559848888906664
161000,-18.543175651002116
162000,-18.395387362678157
163000,-18.365651058553944
164000,-18.296018593359655
165000,-18.293228327028473
166000,-18.215436275405033
167000,-18.120974283626815
168000,-18.074977390466795
169000,-18.08530058990238
170000,-17.99661786579991
171000,-17.964130079209017
172000,-17.8598770776698
173000,-17.840548165164726
174000,-17.746147119284764
175000,-17.74786998480603
176000,-17.70400522517655
177000,-17.615264636012657
178000,-17.58026641706885
179000,-17.537320545961023
180000,-17.51075592795605
181000,-17.392164009500405
182000,-17.385975286745477
183000,-17.344081462337346
184000,-17.32609175115197
185000,-17.26489211099998
186000,-17.23536976967009
187000,-17.17874506972914
188000,-17.118662256082775
189000,-17.11278393320176
190000,-17.06086111375021
191000,-17.04740587698399
192000,-16.98453586980839
193000,-16.918387696164558
194000,-16.939090618916936
195000,-16.862119798351
196000,-16.82670541421863
197000,-16.754480714140943
198000,-16.737945741677073
199000,-16.717783551249493
200000,-16.657480400386802
201000,-16.619377837929157
202000,-16.60679455170212
203000,-16.52936842163755
204000,-16.51695517596899
205000,-16.493842748962123
206000,-16.410428886704537
207000,-16.458523350184265
208000,-16.40727760257847
209000,-16.370434784049955
210000,-16.316263292108843
211000,-16.286823799306145
212000,-16.264453257882888
213000,-16.18687748156957
214000,-16.18544176541538
215000,-16.166824720913283
216000,-16.13456868396115
217000,-16.109272036418567
218000,-16.070480271844815
219000,-16.035265375523977
220000,-16.003582353131577
221000,-15.985461448461322
222000,-15.98752357114158
223000,-15.919342196091694
224000,-15.924750123126394
225000,-15.876980135716678
226000,-15.872443598645493
227000,-15.857997679335739
228000,-15.827111169377236
229000,-15.766884590748948
230000,-15.739628030666172
231000,-15.758055241383122
232000,-15.672495770903804
233000,-15.648818132364635
234000,-15.657405376965038
235000,-15.637013299034148
236000,-15.603865498987428
237000,-15.60282396880812
238000,-15.595391573091483
239000,-15.552907364756312
240000,-15.523328827585576
241000,-15.506515541533084
242000,-15.496064754650902
243000,-15.47618203602422
244000,-15.39373774044926
245000,-15.4240738643437
246000,-15.395047109859625
247000,-15.378578068079378
248000,-15.34664206693607
249000,-15.317934416357694
250000,-15.32017662206433
251000,-15.273143179575136
252000,-15.253924456913186
253000,-15.265381265944704
254000,-15.227867420894786
255000,-15.227087553199503
256000,-15.189781016105503
257000,-15.152660068434066
258000,-15.18524682843309
259000,-15.127056483933941
260000,-15.135388793431343
261000,-15.134681835689154
262000,-15.097890814898609
263000,-15.085217268322051
264000,-15.072575414346648
265000,-15.02123533607206
266000,-15.068276658424317
267000,-15.002168404232599
268000,-15.022322733788286
269000,-15.051453955523328
270000,-15.018131455418061
271000,-14.949568188536556
272000,-14.907901605923577
273000,-14.9808489989903
274000,-14.924384755002311
275000,-14.915052000601605
276000,-14.914518706733315
277000,-14.881859849290375
278000,-14.860971302950936
279000,-14.869200427110446
280000,-14.80783547475631
281000,-14.821819791120568
282000,-14.809797672048024
283000,-14.800688291234476
284000,-14.800243774757227
285000,-14.794043844756619
286000,-14.770612582520208
287000,-14.761589641324402
288000,-14.738280014272
289000,-14.769383615228055
290000,-14.720373987946573
291000,-14.731409145140223
292000,-14.694020909357807
293000,-14.682312694451596
294000,-14.693318845081876
295000,-14.670298446599027
296000,-14.706840904732069
297000,-14.683805838709745
298000,-14.643913740130227
299000,-14.626713255206614
300000,-14.677201209404213
301000,-14.620516570192606
302000,-14.620239976476348
303000,-14.625587626533374
304000,-14.583285724572619
305000,-14.591426755789328
306000,-14.554904380785555
307000,-14.607734533608227
308000,-14.554457399034948
309000,-14.47127869927617
310000,-14.504401336554142
311000,-14.481468541540103
312000,-14.531340159678436
313000,-14.478319738778193
314000,-14.427273568435158
