Frequency [Hz],Amplitude [dB]
50000,-61.53187015701737
51000,-60.351020715019885
52000,-61.48980552623327
53000,-62.34603872534592
54000,-61.46456643295187
55000,-61.457332878971656
56000,-60.29156310827277
57000,-61.43937488125304
58000,-61.424558784949184
59000,-62.280332168558374
60000,-62.26770416857686
61000,-61.38467975368836
62000,-62.70872264858473
63000,-61.78575251058603
64000,-61.36597691632002
65000,-61.36559980180982
66000,-61.353366188867525
67000,-60.548731232026356
68000,-60.909193260188474
69000,-60.884294758073494
70000,-61.27570200696202
71000,-62.60196634584867
72000,-60.474719702891164
73000,-61.26739850195111
74000,-61.27460556088992
75000,-61.282620540462034
76000,-60.8767630973708
77000,-61.275768325851146
78000,-61.27870267738089
79000,-61.28603475231732
80000,-59.10350844951489
81000,-61.28085090968682
82000,-59.41691641533235
83000,-58.16082849416854
84000,-61.67469688220059
85000,-60.09352051278651
86000,-59.74269453938023
87000,-60.10538668891204
88000,-61.271028515812446
89000,-58.761719822976715
90000,-60.090237212001455
91000,-59.06270214224945
92000,-58.14307370638775
93000,-59.06930104587399
94000,-59.40961076019708
95000,-58.750143850689156
96000,-59.04364560745313
97000,-57.29604033197582
98000,-57.2988151944964
99000,-57.30239127365404
100000,-56.55072566041497
101000,-59.05388772969911
102000,-55.64463302285381
103000,-58.145376347892196
104000,-54.81657149789938
105000,-55.43188593825616
106000,-56.5734766990171
107000,-55.88787085130579
108000,-54.83960774714804
109000,-56.58307700176837
110000,-55.25531866302926
111000,-56.36744500788208
112000,-54.65765320047842
113000,-54.45669762983758
114000,-54.07013581395886
115000,-54.42189067872717
116000,-54.05666925933479
117000,-52.5751439494434
118000,-53.36133654525455
119000,-54.03403525957584
120000,-53.502462097799494
121000,-51.53903122921963
122000,-53.34478244396121
123000,-53.01141189458684
124000,-53.00877555523179
125000,-52.85213095146423
126000,-52.85553766607492
127000,-52.550717187778346
128000,-52.862835603306166
129000,-52.533367037672726
130000,-51.508685762737514
131000,-51.64332148425302
132000,-50.85100508943812
133000,-51.396760630676965
134000,-50.78203080147782
135000,-50.52290777077308
136000,-50.26165840951696
137000,-50.38068756417556
138000,-50.39058992384125
139000,-50.26383669729316
140000,-49.89887510415355
141000,-49.68637178955726
142000,-49.088482886995486
143000,-48.8984806277894
144000,-47.751682083179254
145000,-48.463677768792024
146000,-47.72225527792695
147000,-48.545981105949856
148000,-47.82302314413276
149000,-47.74841956165034
150000,-47.47530603986936
151000,-46.80562288784385
152000,-46.7281956909503
153000,-46.42191546051085
154000,-46.273380183212986
155000,-45.98262329103417
156000,-45.983864677955296
157000,-45.163788738578226
158000,-45.6346681949392
159000,-45.036669311516086
160000,-44.78432228423563
161000,-44.91148855688664
162000,-44.30084279756477
163000,-43.954658429526454
164000,-43.62185005267651
165000,-43.56870629805147
166000,-43.57002760803357
167000,-42.74350309176918
168000,-43.04611506332519
169000,-42.74618501240486
170000,-42.60073044086625
171000,-42.602090925641924
172000,-41.99449522796423
173000,-41.5119750516065
174000,-41.72997574253613
175000,-41.68760946654942
176000,-41.60214898141173
177000,-41.3480700228826
178000,-40.86000908355989
179000,-40.511616513856666
180000,-40.17677621134971
181000,-40.105222373477964
182000,-40.253267970118145
183000,-40.10811956094586
184000,-39.5127381582913
185000,-39.31297902203733
186000,-39.150254483349315
187000,-39.0869164301262
188000,-38.83385640476425
189000,-38.86676731599339
190000,-38.589556322758085
191000,-38.500115706780555
192000,-37.97505622379718
193000,-37.50696092971737
194000,-37.72633423392544
195000,-37.56398588448578
196000,-37.1688494761602
197000,-37.09319679879773
198000,-36.86716884937883
199000,-36.744829791574176
200000,-36.361373931759076
201000,-36.24605373015014
202000,-35.90608540949521
203000,-35.75277250099923
204000,-35.49507884188286
205000,-35.2656146082167
206000,-35.001840153818065
207000,-34.92341236505015
208000,-34.88529401739767
209000,-34.76875789801763
210000,-34.2024985144516
211000,-34.076818821893205
212000,-33.882080228292736
213000,-33.813417599960076
214000,-33.50546448685686
215000,-33.15933383323081
216000,-33.03210233768639
217000,-32.84393555075308
218000,-32.523048635441306
219000,-32.2428688660095
220000,-31.99989637934054
221000,-31.916878706163438
222000,-31.601217726288418
223000,-31.29675354008679
224000,-31.078916381051542
225000,-30.816866528669284
226000,-30.45514394117412
227000,-30.292352422103875
228000,-30.00781141691251
229000,-29.776171928695575
230000,-29.518655523161804
231000,-29.18633132507845
232000,-28.91588349498061
233000,-28.61528327936555
234000,-28.4744637777209
235000,-28.179613967948914
236000,-27.806832394180297
237000,-27.584607604078126
238000,-27.359731616946203
239000,-27.012303448600402
240000,-26.770788857834432
241000,-26.468377295444615
242000,-26.234273484401278
243000,-25.97812423768196
