Frequency [Hz],Amplitude [dB]
50000,5.9033135203222535
51000,6.4660250054116055
52000,6.8730059888642465
53000,6.979506850504351
54000,7.4235160998003575
55000,7.954908849067125
56000,8.06314563454556
57000,8.419739735720373
58000,8.897521249025374
59000,9.242503561393843
60000,9.544046701435875
61000,9.929395323185798
62000,10.081212490135595
63000,10.675982591138125
64000,10.97313436216633
65000,10.96624836216633
66000,11.458391160605245
67000,11.631723935435241
68000,11.968910100391295
69000,12.145565524719476
70000,12.482270070998279
71000,12.726500490054883
72000,12.97675485037702
73000,13.162556365781626
74000,13.445310508285308
75000,13.563087087547368
76000,13.849773503431827
77000,14.059082176995128
78000,14.248964646407938
79000,14.409571187759159
80000,14.657255644543996
81000,14.79766250205853
82000,14.974300702837125
83000,15.30348960192537
84000,15.32109631934337
85000,15.592368145212722
86000,15.897204238049698
87000,16.019621108711647
88000,16.114382542676875
89000,16.233591882364905
90000,16.51238766360571
91000,16.729159083257493
92000,16.810336212794844
93000,17.05112825947487
94000,17.129468268660993
95000,17.326687102600122
96000,17.458722712300737
97000,17.64726804267006
98000,17.702358436469346
99000,17.897824786083593
100000,18.030978486747717
101000,18.164439618548037
102000,18.370032403439446
103000,18.471893139067046
104000,18.604631380597727
105000,18.758518627242516
106000,18.823038066989703
107000,18.991003748346085
108000,19.04585393284427
109000,19.227170418506322
110000,19.341209994995726
111000,19.423897582694966
112000,19.499584126155412
113000,19.653580293606627
114000,19.835700752524794
115000,19.89261096193452
116000,20.045561817898093
117000,20.170640790080746
118000,20.266288675626363
119000,20.354333534991554
120000,20.558019888716323
121000,20.610821812040495
122000,20.706212333163187
123000,20.76448538568266
124000,20.913381479279938
125000,21.027006655932837
126000,21.09272555366634
127000,21.216282254998504
128000,21.317386214559125
129000,21.43769131838388
130000,21.47504347388392
131000,21.599680858384147
132000,21.716743137511095
133000,21.799396234216132
134000,21.799396234216132
135000,21.92945160465275
136000,21.980065543107614
137000,22.12119602557284
138000,22.171003748384408
139000,22.311734635006392
140000,22.398001162990973
141000,22.448011478776113
142000,22.522752231851427
143000,22.535878653179374
144000,22.6248581139579
145000,22.75725350743997
146000,22.864962996537116
147000,22.91872439576657
148000,23.00967695078098
149000,23.06273281382747
150000,23.082620377497026
151000,23.230343149601996
152000,23.277277181940615
153000,23.364573289989615
154000,23.44622173408418
155000,23.47485656102302
156000,23.569629892304967
157000,23.611942834841805
158000,23.69595531865347
159000,23.797545829238974
160000,23.82504734974897
161000,23.843333439951397
162000,23.9927425750221
163000,24.024107699363213
164000,24.095376937265875
165000,24.09981190781822
166000,24.17925657419694
167000,24.27537907028583
168000,24.323044336333272
169000,24.31439735738313
170000,24.40476412859041
171000,24.438943767926776
172000,24.544896406873452
173000,24.565932720469256
174000,24.66204891014457
175000,24.66204891014457
176000,24.707644236042547
177000,24.798123071243474
178000,24.834867195014183
179000,24.879566608760065
180000,24.9078923862356
181000,25.028253060015587
182000,25.036218112969955
183000,25.07989582147395
184000,25.099676949672933
185000,25.162675518777572
186000,25.19400428002047
187000,25.25244286985609
188000,25.31434702240011
189000,25.322054112203084
190000,25.375813105622214
191000,25.39111190242291
192000,25.455832834721257
193000,25.523839277597368
194000,25.505001947208115
195000,25.583845662289356
196000,25.621140222110522
197000,25.69525235807181
198000,25.713682005635402
199000,25.735746089400102
