Frequency [Hz],Amplitude [dB]
50000,-19.27080009851175
51000,-18.089345268475217
52000,-19.22751438954511
53000,-20.083121617388542
54000,-19.201013093578176
55000,-19.193133069013278
56000,-18.026706609540028
57000,-19.173851496534915
58000,-19.15835833801337
59000,-20.01344450415123
60000,-20.00011915242346
61000,-19.116387272492428
62000,-20.439712610028707
63000,-19.51601484333102
64000,-19.095501570005837
65000,-19.09437674705496
66000,-19.08138541726916
67000,-18.27598275616036
68000,-18.635667113609394
69000,-18.609980995314586
70000,-19.000590703535202
71000,-20.326047598244553
72000,-18.197983628579056
73000,-18.989835239379
74000,-18.996205269484502
75000,-19.00337340062865
76000,-18.59665931049351
77000,-18.99479811429268
78000,-18.996856284482693
79000,-19.003302442399487
80000,-16.81988050787623
81000,-18.996317642604815
82000,-17.131468150063178
83000,-15.874455578947051
84000,-19.38738968624035
85000,-17.80526942627975
86000,-17.45348997349788
87000,-17.815219075803704
88000,-18.979888308606416
89000,-16.46959749577997
90000,-17.797123259899685
91000,-16.768587081306997
92000,-15.84794807364769
93000,-16.773155399358018
94000,-17.112435678905634
95000,-16.451929934601356
96000,-16.744383477526743
97000,-14.995720630147352
98000,-14.997428583681014
99000,-14.999928437745604
100000,-14.247177304286012
101000,-16.749244579200862
102000,-13.338885824816192
103000,-15.838515870123826
104000,-12.508588529187527
105000,-13.12277128836681
106000,-14.263221198694938
107000,-13.576465352274155
108000,-12.52704312210897
109000,-14.26934414440261
110000,-12.940408487996207
111000,-14.051348450819862
112000,-12.340361218003796
113000,-12.138201199546035
114000,-11.750425934424584
115000,-12.100958369503003
116000,-11.734505560952242
117000,-10.251739923412726
118000,-11.036683274064663
119000,-11.708123846694312
120000,-11.175283667672645
121000,-9.210576927272426
122000,-11.015043436597303
123000,-10.680379369188584
124000,-10.67644072016024
125000,-10.518485036059083
126000,-10.520571920654596
127000,-10.21442288363994
128000,-10.525204032725473
129000,-10.194389513904206
130000,-9.16835362001433
131000,-9.301626077787018
132000,-8.507937795419831
133000,-9.052312846275615
134000,-8.436193944841323
135000,-8.175673281028018
136000,-7.913017746768619
137000,-8.030632209507903
138000,-8.039111379316939
139000,-7.9109264859535475
140000,-7.544524770018657
141000,-7.330572897625815
142000,-6.731227023244891
143000,-6.539759399175741
144000,-5.391487117637316
145000,-6.102000715235264
146000,-5.3590878062475324
147000,-6.181314907018633
148000,-5.456849929799253
149000,-5.380731064742749
150000,-5.106094014194598
151000,-4.434879108187516
152000,-4.355911953076649
153000,-4.0480835811628735
154000,-3.8979920001123123
155000,-3.6056706628811446
156000,-3.6053394844289444
157000,-2.7836828803362694
158000,-3.25297359361804
159000,-2.6533779097308003
160000,-2.3994260455799954
161000,-2.524979465933118
162000,-1.9127128598645111
163000,-1.5648996716092958
164000,-1.2304545220509733
165000,-1.1756660632047695
166000,-1.1753347584315994
167000,-0.34714973785653
168000,-0.6480933365251185
169000,-0.34648706511934535
170000,-0.19934844647593297
171000,-0.19901707850613087
